id,unit_name,unit_code
1,北京市,1.10E+11
2,天津市,1.20E+11
3,河北省,1.30E+11
4,山西省,1.40E+11
5,内蒙古自治区,1.50E+11
6,辽宁省,2.10E+11
7,吉林省,2.20E+11
8,黑龙江省,2.30E+11
9,上海市,3.10E+11
10,江苏省,3.20E+11
11,浙江省,3.30E+11
12,安徽省,3.40E+11
13,福建省,3.50E+11
14,江西省,3.60E+11
15,山东省,3.70E+11
16,河南省,4.10E+11
17,湖北省,4.20E+11
18,湖南省,4.30E+11
19,广东省,4.40E+11
20,广西壮族自治区,4.50E+11
21,海南省,4.60E+11
22,重庆市,5.00E+11
23,四川省,5.10E+11
24,贵州省,5.20E+11
25,云南省,5.30E+11
26,西藏自治区,5.40E+11
27,陕西省,6.10E+11
28,甘肃省,6.20E+11
29,青海省,6.30E+11
30,宁夏回族自治区,6.40E+11
31,新疆维吾尔自治区,6.50E+11
32,新疆生产建设兵团,65A100000000
33,台湾省,6.60E+11
34,香港特别行政区,6.70E+11
35,澳门特别行政区,6.80E+11
